subject,session,run
danny,20181212,01
danny,20181212,02
danny,20181212,03
danny,20181213,03
danny,20181213,04
danny,20190122,01
danny,20190122,03
danny,20190124,02
danny,20190124,03
danny,20190124,04
danny,20190124,05
danny,20190124,06
danny,20190205,01
danny,20190205,03
danny,20190205,04
danny,20190205,05
danny,20190205,06
danny,20190205,08
danny,20190206,03
danny,20190206,06
danny,20190207,01
danny,20190207,03
danny,20190207,04
danny,20190207,05
danny,20190207,06
danny,20190207,07
danny,20190207,08
