subject,session,run,datatype,refsubject
eddy,20191107,[03 04],[anat fmap func],eddy2019
eddy,20191120,[02 04 05],[anat fmap func],eddy2019
eddy,20191204,[01 02 03 04 05 06],[anat fmap func],eddy2019
eddy,20191205,[01 02 03 04],[anat fmap func],eddy2019
eddy,20191212,[04],[anat fmap func],eddy2019
eddy,20191219,[01 02 03 05],[anat fmap func],eddy2019
eddy,20200204,[01 02 03 04],[anat fmap func],eddy2019
eddy,20200205,[01 02 03 04],[anat fmap func],eddy2019
eddy,20200206,[01 02 03 04],[anat fmap func],eddy2019
eddy,20200212,[01 02 03 04 05],[anat fmap func],eddy2019
eddy,20200213,[03],[anat fmap func],eddy2019
eddy,20200218,[01 02 03],[anat fmap func],eddy2019
eddy,20200220,[02 03 04 05 06],[anat fmap func],eddy2019
danny,20190403,[01 03],[anat fmap func],danny
danny,20190416,[01 02],[anat fmap func],danny
danny,20190502,[01 02 03 04],[anat fmap func],danny
danny,20190515,[01 02 03 04 06],[anat fmap func],danny
danny,20190516,[01 03 04 05],[anat fmap func],danny
danny,20190523,[02],[anat fmap func],danny
danny,20190529,[01 02 04],[anat fmap func],danny
danny,20191031,[01 04],[anat fmap func],danny
danny,20191106,[01],[anat fmap func],danny
danny,20191107,[01 03],[anat fmap func],danny
danny,20191114,[01],[anat fmap func],danny
danny,20191121,[01 02],[anat fmap func],danny
danny,20191127,[01],[anat fmap func],danny
danny,20191204,[01 02 03],[anat fmap func],danny
danny,20191205,[02],[anat fmap func],danny
danny,20191211,[01],[anat fmap func],danny
danny,20191219,[01 02 03 05],[anat fmap func],danny
danny,20200721,[05],[anat fmap func],danny
danny,20200722,[01 02 04 07],[anat fmap func],danny
danny,20200723,[02 03],[anat fmap func],danny
danny,20200804,[01 02],[anat fmap func],danny
