Run   2:,Pupil H1 ,Pupil V1 ,Pupil D1 ,P-CR H1  ,P-CR V1  ,Dig Inp 1A
122293,  164.30,  192.30,  161.00,  -21.30,   19.10,   14.00
122294,  164.10,  192.30,  160.00,  -21.70,   19.10,   14.00
122295,  164.20,  192.20,  159.00,  -21.50,   19.00,   14.00
122296,  164.10,  192.30,  160.00,  -21.50,   19.10,   14.00
122297,  164.30,  192.50,  159.00,  -21.50,   19.30,   14.00
122298,  163.90,  192.50,  160.00,  -21.80,   19.30,   14.00
122299,  164.30,  192.40,  162.00,  -21.30,   19.30,   14.00
122300,  164.10,  192.50,  160.00,  -21.50,   19.30,   14.00
122301,  164.20,  192.50,  159.00,  -21.50,   19.40,   14.00
122302,  164.30,  192.50,  160.00,  -21.30,   19.30,   14.00
122303,  164.20,  192.40,  160.00,  -21.40,   19.20,   14.00
122304,  164.50,  192.40,  160.00,  -21.10,   19.30,   14.00
122305,  164.30,  192.50,  161.00,  -21.30,   19.30,   14.00
122306,  163.80,  192.30,  160.00,  -21.80,   19.10,   14.00
122307,  164.20,  192.30,  161.00,  -21.50,   19.10,   14.00
122308,  164.40,  192.30,  164.00,  -21.30,   19.30,   14.00
122309,  164.10,  192.30,  162.00,  -21.50,   19.20,   14.00
122310,  164.00,  192.30,  163.00,  -21.50,   19.20,   14.00
122311,  164.00,  192.50,  163.00,  -21.60,   19.40,   14.00
122312,  163.90,  192.60,  163.00,  -21.80,   19.50,   14.00
122313,  164.10,  192.60,  164.00,  -21.50,   19.50,   14.00
122314,  164.00,  192.70,  163.00,  -21.60,   19.60,   14.00
122315,  164.00,  192.80,  164.00,  -21.60,   19.60,   14.00
122316,  164.10,  192.70,  163.00,  -21.20,   19.60,   14.00
122317,  163.80,  193.00,  165.00,  -21.90,   19.70,   14.00
122318,  164.10,  193.80,  163.00,  -21.80,   20.10,   14.00
122319,  164.90,  194.60,  166.00,  -21.00,   20.50,   14.00
122320,  165.00,  194.60,  167.00,  -21.20,   20.50,   14.00
122321,  165.10,  194.30,  165.00,  -20.70,   20.30,   14.00
122322,  165.10,  194.20,  164.00,  -21.00,   20.20,   14.00
122323,  164.90,  194.30,  167.00,  -21.10,   20.20,   14.00
122324,  165.10,  194.30,  166.00,  -21.10,   20.20,   14.00
122325,  165.10,  194.30,  164.00,  -20.90,   20.30,   14.00
122326,  165.00,  194.10,  164.00,  -21.00,   20.10,   14.00
122327,  164.90,  194.00,  164.00,  -21.00,   20.00,   14.00
122328,  165.20,  194.10,  164.00,  -20.90,   20.10,   14.00
122329,  164.80,  194.10,  163.00,  -21.00,   20.10,   14.00
122330,  165.10,  194.10,  162.00,  -21.00,   20.10,   14.00
122331,  165.10,  194.10,  161.00,  -20.70,   20.10,   14.00
122332,  165.10,  194.00,  161.00,  -21.00,   20.00,   14.00
122333,  165.00,  193.80,  162.00,  -20.90,   19.80,   14.00
122334,  164.90,  193.80,  160.00,  -21.20,   19.80,   14.00
122335,  164.70,  193.60,  160.00,  -21.30,   19.60,   14.00
122336,  164.70,  193.60,  158.00,  -21.30,   19.60,   14.00
122337,  164.70,  193.60,  159.00,  -21.40,   19.70,   14.00
122338,  164.70,  193.50,  158.00,  -21.30,   19.50,   14.00
122339,  164.90,  193.50,  158.00,  -21.10,   19.50,   14.00
122340,  164.60,  193.50,  155.00,  -21.40,   19.60,   14.00
122341,  164.60,  193.40,  155.00,  -21.40,   19.60,   14.00
122342,  164.80,  193.30,  156.00,  -21.30,   19.50,   14.00
122343,  164.80,  193.30,  158.00,  -21.20,   19.40,   14.00
122344,  164.60,  193.40,  155.00,  -21.50,   19.60,   14.00
122345,  164.70,  193.30,  156.00,  -21.30,   19.50,   14.00
122346,  164.60,  193.30,  156.00,  -21.30,   19.40,   14.00
122347,  164.40,  193.20,  154.00,  -21.50,   19.40,   14.00
122348,  164.50,  193.10,  155.00,  -21.70,   19.30,   14.00
122349,  164.60,  193.30,  155.00,  -21.30,   19.40,   14.00
122350,  164.60,  193.30,  155.00,  -21.50,   19.50,   14.00
122351,  164.80,  193.30,  156.00,  -21.30,   19.60,   14.00
122352,  164.70,  193.30,  156.00,  -21.30,   19.60,   14.00
122353,  164.80,  193.40,  158.00,  -21.10,   19.60,   14.00
122354,  165.00,  193.50,  156.00,  -21.10,   19.80,   14.00
122355,  165.30,  193.60,  160.00,  -20.80,   19.90,   14.00
122356,  166.10,  193.70,  159.00,  -20.80,   20.00,   14.00
122357,  173.30,  193.00,  160.00,  -17.50,   19.90,   14.00
122358,  185.10,  191.40,  161.00,  -12.50,   19.70,   14.00
122359,  199.60,  187.80,  166.00,   -6.20,   18.90,   14.00
122360,  212.30,  187.10,  168.00,    0.00,   18.70,   14.00
122361,  223.10,  184.30,  169.00,    4.50,   17.10,   14.00
122362,  232.70,  184.00,  166.00,    8.20,   17.80,   14.00
122363,  239.00,  183.40,  163.00,   10.80,   17.50,   14.00
122364,  241.50,  183.10,  165.00,   11.70,   17.30,   14.00
122365,  242.10,  182.90,  167.00,   11.20,   17.00,   14.00
122366,  242.60,  182.80,  164.00,   10.80,   16.80,   14.00
122367,  243.00,  182.70,  167.00,   11.30,   16.80,   14.00
122368,  243.60,  182.50,  165.00,   11.80,   16.60,   14.00
122369,  243.80,  182.30,  167.00,   12.10,   16.30,   14.00
122370,  243.20,  182.00,  166.00,   11.50,   16.00,   14.00
122371,  244.00,  181.80,  164.00,   12.30,   15.80,   14.00
122372,  244.30,  181.60,  164.00,   12.50,   15.70,   14.00
122373,  244.50,  181.30,  166.00,   12.80,   15.30,   14.00
122374,  244.30,  181.20,  165.00,   12.60,   15.30,   14.00
122375,  244.30,  181.20,  164.00,   12.70,   15.30,   14.00
122376,  244.60,  181.30,  165.00,   12.80,   15.30,   14.00
122377,  244.70,  181.30,  164.00,   13.00,   15.30,   14.00
122378,  244.50,  181.10,  165.00,   12.60,   15.10,   14.00
122379,  244.60,  181.10,  164.00,   12.60,   15.10,   14.00
122380,  244.80,  181.10,  164.00,   12.80,   15.00,   14.00
122381,  244.80,  181.00,  166.00,   12.70,   15.00,   14.00
122382,  245.10,  181.00,  165.00,   13.10,   15.00,   14.00
122383,  245.00,  181.00,  167.00,   12.80,   15.00,   14.00
122384,  244.80,  181.00,  166.00,   12.60,   15.00,   14.00
122385,  245.10,  180.80,  166.00,   12.80,   14.80,   14.00
122386,  245.20,  180.90,  165.00,   13.00,   14.90,   14.00
122387,  245.30,  181.00,  168.00,   12.90,   15.00,   14.00
122388,  245.10,  181.00,  166.00,   12.70,   15.00,   14.00
122389,  244.90,  181.00,  167.00,   12.50,   15.00,   14.00
122390,  245.30,  181.00,  168.00,   12.90,   15.00,   14.00
122391,  245.10,  181.00,  167.00,   12.70,   15.00,   14.00
122392,  245.30,  181.00,  169.00,   12.90,   15.00,   14.00
122393,  245.10,  180.90,  169.00,   12.70,   14.90,   14.00
122394,  245.30,  180.80,  167.00,   13.00,   14.80,   14.00
122395,  245.10,  180.80,  168.00,   12.60,   14.80,   14.00
122396,  245.30,  180.70,  168.00,   12.90,   14.80,   14.00
122397,  245.00,  180.50,  168.00,   12.40,   14.60,   14.00
122398,  245.30,  180.40,  168.00,   12.80,   14.50,   14.00
122399,  245.20,  180.30,  167.00,   12.50,   14.30,   14.00
122400,  245.00,  180.30,  166.00,   12.60,   14.30,   14.00
122401,  245.00,  180.20,  166.00,   12.10,   14.10,   14.00
122402,  244.80,  180.20,  166.00,   12.40,   14.10,   14.00
122403,  245.10,  180.10,  165.00,   12.50,   14.20,   14.00
122404,  245.00,  180.10,  165.00,   12.30,   14.20,   14.00
122405,  245.00,  180.20,  164.00,   12.10,   14.30,   14.00
122406,  245.00,  180.10,  164.00,   12.30,   14.20,   14.00
