time_s	task	event	info	record_time_s
-150.0439	Fixation	DecideNewState	PREPARE_STIM	-150.0417
-150.0439	CT-Shaped Checkerboard LH	DecideNewState	PREPARE_STIM	-150.0411
-150.0439	CT-Shaped Checkerboard RH	DecideNewState	PREPARE_STIM	-140.1763
-130.3257	n/a	FixationRequirement	Stop	-130.3256
-129.0182	n/a	BeginExperiment	20180117T124157	-129.0152
-128.0951	n/a	EyeRecOff	n/a	-128.0947
-125.4416	n/a	EyeRecOn	n/a	-125.4413
-125.4050	Fixation	NewState	PREPARE_STIM	-125.4032
-125.4050	CT-Shaped Checkerboard LH	NewState	PREPARE_STIM	-125.4031
-125.4050	CT-Shaped Checkerboard RH	NewState	PREPARE_STIM	-125.4030
-125.4050	n/a	ScreenUpdate	n/a	-125.4029
-125.4050	Fixation	NewMiniBlock	1	-125.4020
-125.4050	Fixation	DecideNewState	INIT_TRIAL	-125.4018
-125.3966	n/a	Hand_Inserted	Right	-125.3965
-125.3964	Fixation	Reward	Auto	-125.2961
-125.3964	Fixation	TaskReward	0.1	-125.2958
-125.2850	Fixation	NewState	INIT_TRIAL	-125.2831
-122.6720	Fixation	Fixation	In	-122.6718
-122.2232	Fixation	Fixation	Out	-122.2230
-122.2232	Fixation	Fixation	Out	-122.2195
-119.5302	Fixation	Fixation	In	-119.5300
-119.3697	Fixation	Fixation	Out	-119.3696
-119.3697	Fixation	Fixation	Out	-119.3661
-119.1566	Fixation	Fixation	In	-119.1564
-119.1491	Fixation	Fixation	Out	-119.1489
-119.1491	Fixation	Fixation	Out	-119.1453
-107.9436	Fixation	Fixation	In	-107.9434
-107.8631	Fixation	Fixation	Out	-107.8629
-107.8631	Fixation	Fixation	Out	-107.8594
-106.9437	Fixation	Fixation	In	-106.9435
-106.1038	Fixation	Fixation	Out	-106.1036
-106.1038	Fixation	Fixation	Out	-106.1001
-91.7040	Fixation	Fixation	In	-91.7038
-91.6965	Fixation	Fixation	Out	-91.6963
-91.6965	Fixation	Fixation	Out	-91.6928
-82.3182	Fixation	Fixation	In	-82.3180
-82.2381	Fixation	Fixation	Out	-82.2379
-82.2381	Fixation	Fixation	Out	-82.2344
-81.2068	Fixation	Fixation	In	-81.2066
-81.0381	Fixation	Fixation	Out	-81.0379
-81.0381	Fixation	Fixation	Out	-81.0340
-74.7047	Fixation	Fixation	In	-74.7045
-74.6973	Fixation	Fixation	Out	-74.6971
-74.6973	Fixation	Fixation	Out	-74.6936
-72.6250	Fixation	Fixation	In	-72.6247
-72.6174	Fixation	Fixation	Out	-72.6172
-72.6174	Fixation	Fixation	Out	-72.6134
-59.5953	n/a	Hand_Inserted	Left	-59.5952
-59.5950	Fixation	Reward	Auto	-59.3948
-59.5950	Fixation	TaskReward	0.2	-59.3944
-59.3813	Fixation	DecideNewState	PREFIXATION	-59.3432
-59.3280	Fixation	NewState	PREFIXATION	-59.3257
-59.2996	Fixation	ManualReward	0.04	-59.2592
-59.1441	n/a	Hand_Removed	Left	-59.1440
-59.0123	Fixation	Fixation	In	-59.0121
-58.9404	Fixation	Fixation	Out	-58.9402
-58.9404	Fixation	Fixation	Out	-58.9367
-58.8382	Fixation	DecideNewState	FIXATION_PERIOD	-58.8380
-58.8214	Fixation	NewState	FIXATION_PERIOD	-58.8191
-58.6248	n/a	Hand_Inserted	Left	-58.6247
-58.2507	Fixation	DecideNewState	POSTFIXATION	-58.2504
-58.2507	Fixation	DecideNewState	FIXATION_PERIOD	-58.2498
-58.2347	Fixation	NewState	POSTFIXATION	-58.2329
-58.2347	Fixation	NewState	FIXATION_PERIOD	-58.2329
-57.6640	Fixation	DecideNewState	POSTFIXATION	-57.6637
-57.6640	Fixation	DecideNewState	FIXATION_PERIOD	-57.6630
-57.6481	Fixation	NewState	POSTFIXATION	-57.6458
-57.6481	Fixation	NewState	FIXATION_PERIOD	-57.6457
-57.0769	Fixation	DecideNewState	POSTFIXATION	-57.0767
-57.0769	Fixation	DecideNewState	FIXATION_PERIOD	-57.0759
-57.0615	Fixation	NewState	POSTFIXATION	-57.0597
-57.0615	Fixation	NewState	FIXATION_PERIOD	-57.0596
-56.4905	Fixation	DecideNewState	POSTFIXATION	-56.4902
-56.4905	Fixation	DecideNewState	FIXATION_PERIOD	-56.4896
-56.4748	Fixation	NewState	POSTFIXATION	-56.4725
-56.4748	Fixation	NewState	FIXATION_PERIOD	-56.4724
-56.1740	Fixation	Fixation	In	-56.1738
-56.0341	Fixation	Fixation	Out	-56.0339
-56.0341	Fixation	Fixation	Out	-56.0303
-55.9044	Fixation	DecideNewState	POSTFIXATION	-55.9042
-55.9044	Fixation	DecideNewState	FIXATION_PERIOD	-55.9036
-55.8882	Fixation	NewState	POSTFIXATION	-55.8859
-55.8882	Fixation	NewState	FIXATION_PERIOD	-55.8858
-55.3178	Fixation	DecideNewState	POSTFIXATION	-55.3176
-55.3178	Fixation	DecideNewState	FIXATION_PERIOD	-55.3170
-55.3015	Fixation	NewState	POSTFIXATION	-55.2992
-55.3015	Fixation	NewState	FIXATION_PERIOD	-55.2991
-54.7300	Fixation	DecideNewState	POSTFIXATION	-54.7298
-54.7300	Fixation	DecideNewState	FIXATION_PERIOD	-54.7292
-54.7149	Fixation	NewState	POSTFIXATION	-54.7126
-54.7149	Fixation	NewState	FIXATION_PERIOD	-54.7125
-54.3671	Fixation	Fixation	In	-54.3669
-54.3329	Fixation	Fixation	Out	-54.3327
-54.3329	Fixation	Fixation	Out	-54.3290
-54.1587	Fixation	DecideNewState	POSTFIXATION	-54.1585
-54.1587	Fixation	DecideNewState	TRIAL_END	-54.1575
-54.1416	Fixation	NewState	POSTFIXATION	-54.1393
-54.1416	Fixation	NewState	TRIAL_END	-54.1392
-54.1416	Fixation	TrialCompleted	n/a	-54.1049
-54.1416	Fixation	DecideNewState	INIT_TRIAL	-54.1035
-54.1416	Fixation	DecideNewState	PREFIXATION	-54.0841
-54.0749	Fixation	NewState	INIT_TRIAL	-54.0726
-54.0749	Fixation	NewState	PREFIXATION	-54.0725
-53.6107	Fixation	DecideNewState	FIXATION_PERIOD	-53.6104
-53.5949	Fixation	NewState	FIXATION_PERIOD	-53.5926
-53.0245	Fixation	DecideNewState	POSTFIXATION	-53.0243
-53.0245	Fixation	DecideNewState	FIXATION_PERIOD	-53.0235
-53.0083	Fixation	NewState	POSTFIXATION	-53.0065
-53.0083	Fixation	NewState	FIXATION_PERIOD	-53.0064
-52.4379	Fixation	DecideNewState	POSTFIXATION	-52.4377
-52.4379	Fixation	DecideNewState	FIXATION_PERIOD	-52.4371
